;country_i;country_j;dist;pop_i_mean;pop_j_mean;gni_i_mean;gni_j_mean;country_flow;dist_pop
1;ABW;ABW;5;96816,8;96816,8;24230;24230;0;5
2;ABW;AFG;13256;96816,8;25913988,4;24230;415;0;13256
3;ABW;AGO;9505;96816,8;20944435,8;24230;2368;0;9505
4;ABW;AIA;978;96816,8;NA;24230;NA;NA;978
5;ABW;ALB;9090;96816,8;2969776,8;24230;3490;0;9090
6;ABW;AND;7570;96816,8;77624,4;24230;NA;NA;7570
7;ABW;ANT.1;;96816,8;NA;24230;NA;NA;NA
8;ABW;ANT.2;128;96816,8;NA;24230;NA;NA;128
9;ABW;ARE;12771;96816,8;6006780;24230;39906;0;12771
10;ABW;ARG;5359;96816,8;39876314;24230;6314;0;5359
11;ABW;ARM;11109;96816,8;3005168,4;24230;2584;0;11109
12;ABW;ASM;11486;96816,8;56346,2;24230;NA;NA;11486
13;ABW;ATG;1016;96816,8;82113;24230;14372;NA;1016
14;ABW;AUS;15233;96816,8;20879256,8;24230;37848;1;15233
15;ABW;AUT;8716;96816,8;8291355,2;24230;44634;0;8716
16;ABW;AZE;11504;96816,8;8633668,6;24230;2930;0;11504
17;ABW;BDI;11119;96816,8;7995829,6;24230;164;0;11119
18;ABW;BEL;7842;96816,8;10631748,2;24230;42802;0;7842
19;ABW;BEN;7964;96816,8;8655758,8;24230;924;0;7964
20;ABW;BES;196;96816,8;NA;24230;NA;NA;196
21;ABW;BFA;7422;96816,8;14759476;24230;508;0;7422
22;ABW;BGD;15472;96816,8;143961096,6;24230;618;0;15472
23;ABW;BGR;9347;96816,8;7548467,2;24230;5134;0;9347
24;ABW;BHR;12303;96816,8;1040646;24230;18680;0;12303
25;ABW;BHS;1586;96816,8;357797,2;24230;28712;0;1586
26;ABW;BIH;8928;96816,8;3996280,2;24230;3790;0;8928
27;ABW;BLR;9383;96816,8;9572472;24230;4354;0;9383
28;ABW;BLZ;2082;96816,8;297223,8;24230;5134;0;2082
29;ABW;BMU;2254;96816,8;64894,8;24230;NA;NA;2254
30;ABW;BOL;3217;96816,8;9712622,6;24230;1270;0;3217
31;ABW;BRA;4734;96816,8;190717467;24230;6174;0;4734
32;ABW;BRB;1132;96816,8;271554,4;24230;15374;0;1132
33;ABW;BRN;17998;96816,8;378630,4;24230;29324;0;17998
34;ABW;BTN;15071;96816,8;681122,4;24230;1516;0;15071
35;ABW;BWA;11179;96816,8;1968961;24230;5092;0;11179
36;ABW;CAF;9760;96816,8;4382105,6;24230;378;0;9760
37;ABW;CAN;3571;96816,8;32915993;24230;40382;1;3571
38;ABW;CCK;18606;96816,8;NA;24230;NA;NA;18606
39;ABW;CHE;8133;96816,8;7572734,4;24230;65770;0;8133
40;ABW;CHL;5089;96816,8;16500066,6;24230;8508;1;5089
41;ABW;CHN;15012;96816,8;1317708000;24230;2622;0;15012
42;ABW;CIV;7286;96816,8;19820836,6;24230;988;0;7286
43;ABW;CMR;8807;96816,8;18274945;24230;1268;0;8807
44;ABW;COD;9616;96816,8;60348251;24230;248;0;9616
45;ABW;COG;9612;96816,8;3957864,6;24230;1774;0;9612
46;ABW;COK;10485;96816,8;NA;24230;NA;NA;10485
47;ABW;COL;982;96816,8;43285932,4;24230;4140;14;982
48;ABW;COM;12793;96816,8;617240,6;24230;1258;0;12793
49;ABW;CPV;5030;96816,8;504483,6;24230;2758;0;5030
50;ABW;CRI;1561;96816,8;4439825,2;24230;5618;1;1561
51;ABW;CSK;;96816,8;NA;24230;NA;NA;NA
52;ABW;CUB;1756;96816,8;11267285;24230;4650;0;1756
53;ABW;CUW;128;96816,8;143133,2;24230;NA;NA;128
54;ABW;CXR;19505;96816,8;NA;24230;NA;NA;19505
55;ABW;CYM;1426;96816,8;49655,2;24230;NA;NA;1426
56;ABW;CYP;10404;96816,8;1073947,4;24230;28336;0;10404
57;ABW;CZE;8556;96816,8;10315497,6;24230;15936;0;8556
58;ABW;DDR;;96816,8;NA;24230;NA;NA;NA
59;ABW;DEU.1;;96816,8;NA;24230;NA;NA;NA
60;ABW;DEU.2;8470;96816,8;NA;24230;NA;NA;8470
61;ABW;DJI;12184;96816,8;865398,6;24230;NA;0;12184
62;ABW;DMA;983;96816,8;68752;24230;6002;NA;983
63;ABW;DNK;8403;96816,8;5466971,6;24230;55874;0;8403
64;ABW;DOM;660;96816,8;9404430,2;24230;4130;0;660
65;ABW;DZA;7686;96816,8;34028245,2;24230;3602;0;7686
66;ABW;ECU;1957;96816,8;14254094,2;24230;3448;13;1957
67;ABW;EGY;10382;96816,8;82253916,4;24230;1528;0;10382
68;ABW;ERI;11623;96816,8;2945532;24230;428;0;11623
69;ABW;ESH;6117;96816,8;NA;24230;NA;0;6117
70;ABW;ESP;7117;96816,8;45118865,8;24230;29668;42;7117
71;ABW;EST;9085;96816,8;1342774;24230;12884;0;9085
72;ABW;ETH.1;;96816,8;NA;24230;NA;NA;NA
73;ABW;ETH.2;11805;96816,8;NA;24230;NA;NA;11805
74;ABW;FIN;9081;96816,8;5290670,8;24230;45674;0;9081
75;ABW;FJI;12694;96816,8;889353,6;24230;3538;0;12694
76;ABW;FLK;7212;96816,8;NA;24230;NA;NA;7212
77;ABW;FRA;7681;96816,8;63985793,6;24230;40314;1;7681
78;ABW;FRO;7402;96816,8;48361;24230;NA;NA;7402
79;ABW;FSM;14284;96816,8;109469;24230;2504;0;14284
80;ABW;GAB;8865;96816,8;1552836,2;24230;6230;0;8865
81;ABW;GBR;7538;96816,8;61330750,8;24230;45482;0;7538
82;ABW;GEO;11060;96816,8;3861168,4;24230;2316;0;11060
83;ABW;GHA;7697;96816,8;23716141,2;24230;812;0;7697
84;ABW;GIB;6932;96816,8;29991;24230;NA;NA;6932
85;ABW;GIN;6158;96816,8;9563785,8;24230;502;0;6158
86;ABW;GLP;975;96816,8;NA;24230;NA;0;975
87;ABW;GMB;5777;96816,8;1767041,2;24230;658;0;5777
88;ABW;GNB;5913;96816,8;1452000,6;24230;470;0;5913
89;ABW;GNQ;8864;96816,8;951523;24230;8718;0;8864
90;ABW;GRC;9492;96816,8;11048201,4;24230;27267,5;4;9492
91;ABW;GRD;902;96816,8;111738,8;24230;6380;0;902
92;ABW;GRL;5909;96816,8;56583;24230;31986,66667;NA;5909
93;ABW;GTM;2230;96816,8;13475625,6;24230;2356;0;2230
94;ABW;GUF;2119;96816,8;NA;24230;NA;0;2119
95;ABW;GUM;15230;96816,8;164634,6;24230;NA;0;15230
96;ABW;GUY;1448;96816,8;756001;24230;2550;0;1448
97;ABW;HKG;16127;96816,8;6903440;24230;31510;0;16127
98;ABW;HND;1869;96816,8;7922670,8;24230;1468;0;1869
99;ABW;HRV;8714;96816,8;4309281,4;24230;12376;0;8714
100;ABW;HTI;710;96816,8;9420979,8;24230;914;0;710
101;ABW;HUN;8924;96816,8;10055010,6;24230;12010;0;8924
102;ABW;IDN.1;;96816,8;NA;24230;NA;NA;NA
103;ABW;IDN.2;19232;96816,8;NA;24230;NA;NA;19232
104;ABW;IND;14254;96816,8;1189415855;24230;898;0;14254
105;ABW;IOT;15877;96816,8;NA;24230;NA;NA;15877
106;ABW;IRL;7167;96816,8;4371473,2;24230;48176;0;7167
107;ABW;IRN;11878;96816,8;72283770,2;24230;4190;0;11878
108;ABW;IRQ;11423;96816,8;29154519,8;24230;2564;0;11423
109;ABW;ISL;6819;96816,8;309599;24230;51554;0;6819
110;ABW;ISR;10636;96816,8;7191660;24230;24970;0;10636
111;ABW;ITA;8475;96816,8;58494773,8;24230;35732;3;8475
112;ABW;JAM;946;96816,8;2700303,6;24230;4322;0;946
113;ABW;JOR;10744;96816,8;6328181;24230;2800;0;10744
114;ABW;JPN;13826;96816,8;127947600;24230;39958;0;13826
115;ABW;KAZ;12978;96816,8;15561813,2;24230;4934;0;12978
116;ABW;KEN;11879;96816,8;38071279;24230;696;0;11879
117;ABW;KGZ;12896;96816,8;5270280;24230;636;0;12896
118;ABW;KHM;17284;96816,8;13707756,2;24230;588;0;17284
119;ABW;KIR;12910;96816,8;102041,4;24230;1732;NA;12910
120;ABW;KNA;946;96816,8;47011,2;24230;13812;NA;946
121;ABW;KOR;14184;96816,8;48733806,8;24230;21732;0;14184
122;ABW;KWT;11918;96816,8;2510412,2;24230;44598;0;11918
123;ABW;LAO;16537;96816,8;6041340,4;24230;638;0;16537
124;ABW;LBN;10632;96816,8;4802252,8;24230;5558;0;10632
125;ABW;LBR;6529;96816,8;3608681,6;24230;324;0;6529
126;ABW;LBY;8640;96816,8;6099418,6;24230;9806;0;8640
127;ABW;LCA;993;96816,8;167527,6;24230;7514;1;993
128;ABW;LIE;8210;96816,8;35143,6;24230;109694;NA;8210
129;ABW;LKA;16060;96816,8;20078269,4;24230;1562;0;16060
130;ABW;LSO;11407;96816,8;1988370,4;24230;1188;0;11407
131;ABW;LTU;9219;96816,8;3236975,6;24230;10420;0;9219
132;ABW;LUX;7961;96816,8;480844,2;24230;77386;0;7961
133;ABW;LVA;9099;96816,8;2195294,4;24230;11038;0;9099
134;ABW;MAC;16143;96816,8;515574,2;24230;30152;0;16143
135;ABW;MAR;6703;96816,8;31235085,2;24230;2706;0;6703
136;ABW;MCO;8052;96816,8;32047,6;24230;NA;NA;8052
137;ABW;MDA;9663;96816,8;2875659,4;24230;1532;0;9663
138;ABW;MDG;13336;96816,8;19939623,8;24230;384;0;13336
139;ABW;MDV;15595;96816,8;326493;24230;4776;0;15595
140;ABW;MEX;3204;96816,8;108273216,4;24230;9418;0;3204
141;ABW;MHL;12903;96816,8;53998,4;24230;3508;NA;12903
142;ABW;MKD;9209;96816,8;2043642,2;24230;3802;0;9209
